company,district,activity_status,evidence_url,verified_at,notes
Ciudaris,Jesús María,current_active,https://www.ciudaris.com/,2026-09-14,"Official site lists multiple current Jesús María projects."
Ditrenzzo,Jesús María,current_active,https://www.ditrenzzo.com/,2026-09-14,"Official site lists Scena and Nazca in Jesús María."
Invent Inmobiliaria,Jesús María,current_active,https://www.invent.com.pe/,2026-09-14,"Official site lists delivery-immediate inventory on Av. San Felipe 787, Jesús María."
V&V Grupo Inmobiliario,Jesús María,current_active,https://vyv.pe/,2026-09-14,"Official site lists San Felipe 1190 in Jesús María as delivery immediate."
Abril Grupo Inmobiliario,Jesús María,current_active,https://abril.pe/departamentos/jesus-maria/cannelle/,2026-09-14,"Official site lists Cannelle in construction in Jesús María; additional current projects also visible."
Desarrolladora,Jesús María,current_active,https://desarrolladora.com/proyectos/,2026-09-14,"Official site lists Salaverry 571 and Salaverry 563 in Jesús María."
CISSAC,Jesús María,current_active,https://www.linkedin.com/posts/cissacperu_jes%C3%BAsmar%C3%ADa-nuevoproyecto-construyendofuturo-activity-7422310453314752512,2026-09-14,"Current public company activity confirms a new Jesús María project/land option; exclude under restricted geography."
Avenir Grupo Inmobiliario,Jesús María,current_clear_public_inventory,https://www.avenirperu.pe/proyectosenventa,2026-09-14,"Current official projects-for-sale are in Chorrillos, Surco and Magdalena del Mar; no current Jesús María project shown."
Senda,Jesús María,current_clear_public_inventory,https://senda.pe/proyectos/,2026-09-14,"Current projects-for-sale are in Magdalena and San Isidro; Jesús María appears only in historical delivered projects."
La Venturosa,Jesús María,current_clear_public_inventory,https://www.laventurosa.com/proyectos-en-venta/,2026-09-14,"Current projects-for-sale are in San Miguel, Chorrillos, Magdalena, San Borja and Surco; no current Jesús María project shown."
Armando Paredes,Jesús María,current_clear_public_inventory,https://www.armandoparedes.com/,2026-09-14,"Current official inventory is shown in Miraflores, San Isidro and Surco; no current Jesús María project shown."
Marcan,Jesús María,current_clear_public_inventory,https://marcan.com.pe/,2026-09-14,"Current official inventory is concentrated in Miraflores and San Isidro; no current Jesús María project shown."

