tier,company,contact_name,role,channel,contact_route,why_fit,status,last_touch,next_action,source_url,verified_at,notes
A,Andiamo,,Gerencia Comercial / Marketing,Email + LinkedIn,ventas@andiamo.com.pe | +51 contact via website,"Varios proyectos activos en Lima y una operación comercial con canales públicos directos",research,,Identify commercial/marketing leader and send leakage diagnostic pitch,https://www.andiamo.com.pe/contactenos,2026-09-14,Founder-led outreach; do not use mass messaging
A,Avenir Grupo Inmobiliario,,Gerencia Comercial / Marketing,LinkedIn + website,avenirperu.pe,"Más de 15 años, 16 proyectos desarrollados y varios proyectos actualmente en venta en Lima",research,,Find commercial decision maker; reference current portfolio complexity,https://www.avenirperu.pe/,2026-09-14,Use website form only after identifying B2B owner
A,AMURA Inmobiliaria,,Gerencia General / Comercial,WhatsApp + LinkedIn,+51 907 835 079 | inmobiliariaamura.com,"Portafolio en crecimiento en Surquillo, Pueblo Libre y Barranco; una estructura compacta podría decidir rápido",research,,Find owner/commercial lead and offer founder diagnostic,https://www.inmobiliariaamura.com/,2026-09-14,High-priority founder-led target
A,Ditrenzzo,,Gerencia Comercial / Gerencia General,Phone + LinkedIn,+51 984 110 577 / 991 722 386 / 974 784 495,"Más de 21 años, varios proyectos activos y canales de venta directos claramente identificables",research,,Identify commercial leader; call after personalized LinkedIn/email touch,https://www.ditrenzzo.com/contacto/,2026-09-14,Ask about lead follow-up and weekly sales visibility
A,Ciudaris,,Gerencia Comercial,Email + LinkedIn,ventas@ciudaris.com | (01) 625 0200,"Proyectos multifamiliares activos y contacto comercial centralizado; el funnel digital debería ser medible",research,,Identify commercial manager and ask for 20-minute diagnostic,https://www.ciudaris.com/contacto/,2026-09-14,Good pilot-size company
A,Senda,Jackeline Palomino,Gerente Comercial,LinkedIn + corporate line,(01) 713 9987 | senda.pe,"El sitio oficial identifica a la Gerente Comercial; tiene proyectos activos y referencias explícitas a procesos/CRM",research,,Personalize around management visibility and lead-to-minuta conversion,https://senda.pe/nosotros/,2026-09-14,Official team page names commercial decision maker
A,La Venturosa,,Gerencia Comercial / Marketing,Email + WhatsApp,ventas@laventurosa.com | +51 908 837 110,"Varios proyectos activos y en preventa en Lima, con captura digital de leads visible",research,,Find commercial leader; pitch leakage snapshot rather than dashboard,https://www.laventurosa.com/,2026-09-14,Direct public sales channels
A,CISSAC,,Gerencia Comercial / Marketing,Email + WhatsApp,ventas@cissac.com | +51 936 297 293,"Portafolio en Lima y provincias con una operación comercial centralizada",research,,Find commercial manager; use portfolio breadth as relevance trigger,https://cissacperu.com/proyectos-en-venta/,2026-09-14,Potential multi-project benchmark use case
A,Armando Paredes,,Gerencia Comercial / Marketing,Email + WhatsApp,ventas@armandoparedes.com | +51 952 279 852,"Marca digital diferenciada y proyectos activos en distritos premium; buen contexto para medir el funnel comercial",research,,Find commercial/marketing owner and send concise founder note,https://www.armandoparedes.com/,2026-09-14,Use premium-project context
A,Marcan,,Gerencia Comercial / Marketing,Phone + LinkedIn,919 490 440 | callcenter@marcan.com.pe,"Portafolio residencial y de oficinas con proyectos activos y contact center centralizado",research,,Identify manager; ask about cross-project funnel visibility,https://marcan.com.pe/,2026-09-14,Good multi-project Revenue Intelligence fit
A,Desarrolladora,,Gerencia Comercial / Marketing,Email + LinkedIn,ventas@desarrolladora.com | (01) 242 0707,"Portafolio activo en varios submercados de Lima y una superficie digital de adquisición ya establecida",research,,Identify sales/marketing leader and lead with revenue leakage diagnostic,https://desarrolladora.com/,2026-09-14,Use a current project in personalization
B,Edifica,,Gerencia Comercial / Marketing,Email + LinkedIn,info@edifica.com.pe | +51 989 344 159,"Portafolio amplio en Lima y operación comercial digital madura; alto potencial analítico aunque con ciclo de venta más largo",research,,Find commercial analytics/sales ops owner; request diagnostic conversation,https://edifica.com.pe/,2026-09-14,Enterprise-ish target; do not overinvest before response
B,Imagina,,Gerencia Comercial / Marketing,Email + LinkedIn,callcenter@imagina.pe | +51 920 235 773,"Múltiples proyectos activos y contact center centralizado; escala suficiente para analizar fugas del funnel",research,,Identify commercial/marketing executive and pitch management action queue,https://www.imagina.pe/contacto/,2026-09-14,Potential higher-volume case study
B,Grupo Caral,,Gerencia Comercial / Marketing,Phone + LinkedIn,(01) 230 3500 | grupocaral.com.pe,"Portafolio multidistrito y contacto comercial centralizado",research,,Identify commercial owner and ask about advisor/funnel visibility,https://www.grupocaral.com.pe/contactanos/,2026-09-14,Use direct call only after contextual research
B,Abril Grupo Inmobiliario,,Gerencia Comercial / Marketing,Email + LinkedIn,informes@abril.pe | contacto@abril.pe | (01) 572 7000,"Portafolio amplio en Lima, call center y captura digital de prospectos",research,,Identify sales/marketing manager; pitch multi-project leakage benchmark,https://abril.pe/contacto/,2026-09-14,Larger target
B,Invent Inmobiliaria,,Gerencia Comercial / Marketing,Phone + LinkedIn,+51 923 149 476 | invent.com.pe/contactanos,"Inventario digital amplio y varios proyectos activos; la complejidad del funnel es visible",research,,Find sales ops/commercial leader; reference inventory/project breadth,https://invent.com.pe/contactanos/,2026-09-14,Public email is customer-service oriented; prefer LinkedIn decision maker
B,V&V Grupo Inmobiliario,,Gerencia Comercial / Marketing,Email + LinkedIn,vyv@vyv.pe | Ventas +51 987 561 619,"Más de 85 proyectos realizados y operación comercial activa; escala útil para métricas gerenciales estandarizadas",research,,Identify commercial leader; position as action layer above existing CRM/BI,https://vyv.pe/,2026-09-14,Enterprise-ish target
B,Cosapi Inmobiliaria,,Gerencia Comercial / Marketing,Email + WhatsApp,contacto@cosapiinmobiliaria.com.pe | +51 966 874 541,"Múltiples proyectos activos y un funnel online de cotización/captura ya maduro",research,,Identify commercial/sales ops lead and ask for funnel diagnostic,https://www.cosapiinmobiliaria.com.pe/contactanos/,2026-09-14,Potential high-value account; likely longer procurement
